cs,off_play_caller,season,n_plays,H_situ,H_lg,H_vs_lg,guess,guess_lg,guess_xs,H_seq,seq_lift,lean,lean_abs,epa_play,epa_next,qb_cpoe,qb_epa,n_db,primary_qb,n_primary
Adam Gase__2015,Adam Gase,2015,922,0.845858858491627,0.850972813859997,-0.00511395536837001,0.662691651215861,0.647361955251856,1.53296959640051,0.819499436552974,0.0081007704349878,0.0756965896797542,0.373549123050205,-0.0263980844694287,0.0066536075873715,0.938724253802572,0.0162128138408904,487,J.Cutler,466
Adam Gase__2016,Adam Gase,2016,735,0.843211410066044,0.83848464565056,0.00472676441548336,0.654793765442428,0.656173130324692,-0.137936488226476,0.798928753067332,0.00892732631427862,0.0737517803299184,0.371356296214928,0.0066536075873715,-0.149840682807538,2.08336387650441,0.0549167611859177,384,R.Tannehill,318
Adam Gase__2017,Adam Gase,2017,694,0.837681866011781,0.825810823349265,0.0118710426625154,0.65856979677943,0.665439351375742,-0.686955459631167,0.802993614528234,0.00522239942448299,0.0201349911153833,0.389460641171472,-0.149840682807538,-0.0950850743422706,-1.07901958793164,-0.0630136134470904,407,J.Cutler,314
Adam Gase__2018,Adam Gase,2018,737,0.846333081101489,0.831305853660728,0.0150272274407617,0.651270993759926,0.65789888902581,-0.662789526588448,0.812063990116913,8.58878362136606e-05,0.0297183438306586,0.398202080921532,-0.0950850743422706,-0.0748910189947933,-0.641738562310326,-0.103107363293008,418,R.Tannehill,270
Adam Gase__2019,Adam Gase,2019,627,0.856339299055708,0.843559422290889,0.0127798767648185,0.638548008513018,0.650847028797485,-1.22990202844668,0.817966953353878,0.0101785398401805,0.0246013918656861,0.391796948997218,-0.0748910189947933,-0.238569026864615,1.88535482622683,-0.000715880418526963,367,S.Darnold,346
Alex Van Pelt__2024,Alex Van Pelt,2024,782,0.838308836058336,0.848283339922998,-0.00997450386466159,0.663567086907387,0.649259230499724,1.43078564076631,0.799036155595367,0.0130453272190629,0.0316487927266093,0.370780994863157,-0.0580123857216778,,3.53836213287554,-0.0574587296385348,415,D.Maye,247
Andy Reid__2016,Andy Reid,2016,832,0.844406365892654,0.849725702912973,-0.00531933702031884,0.652853001881722,0.650324683434414,0.252831844730783,0.801535717554783,0.0119353709878592,0.0116812059333405,0.371108623167787,0.0448888031784515,0.0718120584523055,3.14362457445763,0.0969809838051958,504,A.Smith,453
Andy Reid__2017,Andy Reid,2017,603,0.826343099736436,0.83356994479545,-0.00722684505901416,0.667105426343301,0.658126151359749,0.8979274983552,0.784801154304903,0.00821919275764926,0.00952410646042423,0.355897785295697,0.0718120584523055,0.300749819127925,7.41260335558937,0.159692817951523,374,A.Smith,373
Andy Reid__2018,Andy Reid,2018,780,0.851929502284633,0.87271163405076,-0.0207821317661271,0.665248004577893,0.634669964746307,3.05780398315865,0.809849166281571,0.0178573986299536,0.0905410148776495,0.375174783132015,0.300749819127925,0.188268880652092,4.98594153897996,0.406573187091052,516,P.Mahomes,516
Andy Reid__2019,Andy Reid,2019,905,0.820930354537523,0.862540149575428,-0.0416097950379042,0.683985286299044,0.63990380207676,4.40814842222835,0.76387579593775,0.0266466612239085,0.0907684554958212,0.368142851717894,0.188268880652092,0.217272908243849,2.23828966553147,0.269926157010643,598,P.Mahomes,513
Andy Reid__2020,Andy Reid,2020,960,0.827351143948663,0.865468366706008,-0.0381172227573453,0.675563822182487,0.637379570575428,3.81842516070589,0.773197579476797,0.0300099519139315,0.103049035106475,0.380219789687544,0.217272908243849,0.145878091770138,2.64702050694118,0.288207372344016,619,P.Mahomes,583
Andy Reid__2021,Andy Reid,2021,1035,0.842802941006892,0.874582156281218,-0.031779215274326,0.670455261744239,0.63280142704458,3.76538346996583,0.785548818953709,0.0271792670001402,0.103882469827138,0.385458977736425,0.145878091770138,0.213303861136693,2.51473395580865,0.187886480341988,664,P.Mahomes,664
Andy Reid__2022,Andy Reid,2022,1029,0.836894845062787,0.878990927448678,-0.0420960823858909,0.675671106498817,0.630077628715495,4.55934777833226,0.775524363656892,0.028819085756437,0.106310494765422,0.38402365574539,0.213303861136693,0.0359171767126705,4.60350284990282,0.312193467605641,665,P.Mahomes,657
Andy Reid__2023,Andy Reid,2023,1161,0.822562571166089,0.857532391650681,-0.0349698204845926,0.675903514449007,0.643194128344719,3.2709386104288,0.769063028792098,0.0223557622307564,0.0502022453274943,0.351624562752391,0.0359171767126705,0.0750917364790916,3.06607938937249,0.0995730055977591,724,P.Mahomes,691
Andy Reid__2024,Andy Reid,2024,1059,0.839795629430532,0.866978163217251,-0.0271825337867194,0.663613519368676,0.636904477174258,2.67090421944185,0.79901278209284,0.0183950230241244,0.0520009042042624,0.376030053243365,0.0750917364790916,0.0154571630890097,2.72240640850304,0.0990389958388624,631,P.Mahomes,629
Andy Reid__2025,Andy Reid,2025,926,0.819156264691481,0.857283629134704,-0.0381273644432225,0.675560325795184,0.643478779925621,3.20815458695632,0.76463588648735,0.026503712657468,0.0429643235022511,0.342127422872553,0.0154571630890097,,-1.5697329223156,0.00105167990153391,571,P.Mahomes,481
Anthony Lynn__2016,Anthony Lynn,2016,751,0.83674555897695,0.849963768079629,-0.0132182091026792,0.67521328654341,0.649708484571171,2.55048019722386,0.793006502630524,0.0195582736490318,0.0544934182882945,0.378756504183444,0.0623055339237643,,0.564073248585659,0.0150043696642889,382,T.Taylor,356
Anthony Lynn__2021,Anthony Lynn,2021,368,0.834601733214126,0.845714027623012,-0.0111122944088857,0.668166746852694,0.648090042379691,2.00767044730038,0.796291332775469,0.016531278806361,0.0731763703262677,0.378235565457979,-0.122345279880753,,1.11572342259544,-0.131542992161508,203,J.Goff,201
Arthur Smith__2019,Arthur Smith,2019,935,0.834323087192395,0.846081131280761,-0.0117580440883662,0.672753739052345,0.649470394006073,2.32833450462719,0.783161006102694,0.0138597060300899,0.0767328562025717,0.367311888208045,0.0569771890436302,0.144132273832519,2.62594870883498,0.0945019844026591,482,R.Tannehill,314
Arthur Smith__2020,Arthur Smith,2020,879,0.846261425051629,0.865579006082942,-0.0193175810313134,0.660079249983874,0.638180177392825,2.18990725910497,0.801300003207601,0.022807507404269,0.0949654687827493,0.385324039472112,0.144132273832519,-0.0109544515381658,1.55717359632618,0.200671376952702,443,R.Tannehill,440
Arthur Smith__2021,Arthur Smith,2021,791,0.820476358645616,0.845674997623803,-0.0251986389781876,0.68328845291766,0.650309284103042,3.29791688146186,0.760304350188297,0.0270468083495111,0.00471319584117076,0.359328852968783,-0.0109544515381658,-0.032614255430172,1.19233327182729,0.0933729801321033,471,M.Ryan,470
Arthur Smith__2022,Arthur Smith,2022,876,0.843178990002676,0.857200903270436,-0.0140219132677604,0.659897719689274,0.642634287932619,1.72634317566547,0.788951306087067,0.0217568943852492,0.139281856878469,0.397283423458094,-0.032614255430172,-0.081274867923564,-2.40532937220165,-0.0169556416132904,390,M.Mariota,276
Arthur Smith__2023,Arthur Smith,2023,993,0.834446438825844,0.843672889044593,-0.00922645021874902,0.667473698493123,0.649344361670543,1.81293368225799,0.791712546074959,0.0143202241712601,0.0983887387126354,0.377153370105488,-0.081274867923564,-0.0354049418928828,-2.62113436093104,-0.0380876216334403,517,D.Ridder,386
Arthur Smith__2024,Arthur Smith,2024,956,0.845154462644822,0.846589345138952,-0.00143488249412982,0.664851196745289,0.650936710400282,1.39144863450076,0.804089775573244,0.0112801568487674,0.0630648947909288,0.378686693048876,-0.0354049418928828,0.00995810964956902,3.96636400804963,0.025309916372698,507,R.Wilson,337
Arthur Smith__2025,Arthur Smith,2025,930,0.821741823866916,0.844612967584491,-0.0228711437175745,0.673928358970977,0.650548784556038,2.33795744149395,0.77429864842986,0.0156480258871774,0.015244841543577,0.358586117721373,0.00995810964956902,,0.50677027560938,-0.00024421095816462,548,A.Rodgers,500
